Species,Input,Output,Coupler,KT,diet,type,loginput,logoutput,logcoupler,logkt
Pseudojuloides_cerasinus,0.43,0.51,0.68,0.83,invert,soft,-0.366531544,-0.292429824,-0.167491087,-0.080921908
Pseudolabrus_guentheri,0.39,0.54,0.47,0.76,invert,soft,-0.408935393,-0.26760624,-0.327902142,-0.119186408
Pteragogus_cryptus,0.45,0.52,0.45,0.84,invert,soft,-0.346787486,-0.283996656,-0.346787486,-0.075720714
Stethojulis_bandanensis,0.34,0.53,0.49,0.65,invert,soft,-0.468521083,-0.27572413,-0.30980392,-0.187086643
Stethojulis_trilineata,0.37,0.46,0.54,0.81,invert,soft,-0.431798276,-0.337242168,-0.26760624,-0.091514981
Thalassoma_amblycephalum,0.44,0.51,0.47,0.92,invert,soft,-0.356547324,-0.292429824,-0.327902142,-0.036212173
Thalassoma_bifasciatum,0.42,0.44,0.56,0.97,invert,soft,-0.37675071,-0.356547324,-0.251811973,-0.013228266
Thalassoma_hardwicke,0.41,0.46,0.52,0.89,invert,soft,-0.387216143,-0.337242168,-0.283996656,-0.050609993
Thalassoma_jansenii,0.38,0.45,0.51,0.86,invert,soft,-0.420216403,-0.346787486,-0.292429824,-0.065501549
Thalassoma_lunare,0.35,0.47,0.44,0.82,invert,soft,-0.455931956,-0.327902142,-0.356547324,-0.086186148
Thalassoma_lutescens,0.36,0.51,0.52,0.72,invert,soft,-0.443697499,-0.292429824,-0.283996656,-0.142667504
Thalassoma_quinquevittatum,0.39,0.47,0.53,0.87,invert,soft,-0.408935393,-0.327902142,-0.27572413,-0.060480747
Thalassoma_trilobatum,0.37,0.56,0.47,0.64,invert,soft,-0.431798276,-0.251811973,-0.327902142,-0.193820026
Wetmorella_nigropinnata,0.57,0.48,0.57,1.11,invert,soft,-0.244125144,-0.318758763,-0.244125144,0.045322979
Xyrichtys_martinicensis,0.4,0.32,0.53,1.46,invert,soft,-0.397940009,-0.494850022,-0.27572413,0.164352856
Xyrichtys_novacula,0.34,0.33,0.57,1.18,invert,soft,-0.468521083,-0.48148606,-0.244125144,0.071882007
