regime,sigma.sq
hard,0.000265713
hard,0.001018679
hard,0.00011451
hard,0.000988849
hard,0.000910927
hard,0.00126028
hard,0.000104495
hard,0.001181259
hard,0.000305351
hard,0.000121798
hard,0.0005825
hard,0.001145795
hard,0.000121098
hard,0.000112496
hard,0.000113044
hard,0.001415294
hard,0.000113552
hard,0.000114845
hard,0.000614327
hard,0.000105808
hard,0.000322471
hard,0.000122008
hard,0.000101061
hard,0.000285094
hard,0.000116677
hard,0.001018365
hard,0.000337268
hard,0.000335145
hard,0.000113312
hard,0.000290222
hard,0.000127077
hard,0.000148592
hard,0.000108538
hard,0.000105946
hard,0.000419977
hard,0.0003548
hard,0.000125835
hard,0.000124445
hard,0.001208152
hard,0.000992787
hard,0.000113977
hard,0.000643394
hard,0.000117558
hard,0.00010845
hard,0.000647027
hard,0.00014581
hard,9.89E-05
hard,0.001326126
hard,0.000116497
hard,0.000478285
hard,0.000283269
hard,0.000367245
hard,0.00010712
hard,0.00011002
hard,0.00115663
hard,0.000107156
hard,0.000108689
hard,9.94E-05
hard,0.00107562
hard,0.000331757
hard,0.000104731
hard,0.001447407
hard,0.001026147
hard,0.001029598
hard,0.000637367
hard,0.000278878
hard,0.000123986
hard,0.000116548
hard,0.001125951
hard,0.000490071
hard,0.00011325
hard,0.00037959
hard,0.000953857
hard,0.000108048
hard,0.000199238
hard,0.00038562
hard,0.000478807
hard,0.000109218
hard,0.00011526
hard,0.0012865
hard,0.001215823
hard,0.000295021
hard,0.000408033
hard,0.000118262
hard,0.000110709
hard,0.000997431
hard,0.001180291
hard,0.000163746
hard,0.000355417
hard,0.000363317
hard,0.000631463
hard,0.000111222
hard,0.000988802
hard,0.000912926
hard,0.000127568
hard,0.000124183
hard,0.000513478
hard,0.000101651
hard,0.001519799
hard,0.000113985
hard,0.000132284
hard,0.001173054
hard,0.000108961
hard,0.001056184
hard,0.000706563
hard,0.000120075
hard,0.00011297
hard,0.000936315
hard,0.000121724
hard,0.000111171
hard,0.000136165
hard,0.001009963
hard,0.001498685
hard,0.000115207
hard,0.000113357
hard,0.000103819
hard,0.000123136
hard,0.0001051
hard,0.001067412
hard,0.001171887
hard,0.000221632
hard,0.001133537
hard,0.001101132
hard,0.000105047
hard,0.000128996
hard,0.000111527
hard,0.000122697
hard,0.000107901
hard,0.001209179
hard,0.000400778
hard,0.001063112
hard,0.000111277
hard,0.001312479
hard,0.000321003
hard,0.001149613
hard,0.000105348
hard,0.000116587
hard,0.001085277
hard,0.000112371
hard,0.000118875
hard,0.00011604
hard,0.000590338
hard,0.000664861
hard,0.000169206
hard,0.000113117
hard,0.000249644
hard,0.000116327
soft,0.000352086
soft,0.000362578
soft,0.000376397
soft,0.000321778
soft,0.000402618
soft,0.000325602
soft,0.000373029
soft,0.000321509
soft,0.000366395
soft,0.000361973
soft,0.000376521
soft,0.000356678
soft,0.000355598
soft,0.000323395
soft,0.000372346
soft,0.000372095
soft,0.000351724
soft,0.00032393
soft,0.000380404
