regime,theta,se
hard,0.033637132,0.005582575
hard,0.034641753,0.005650016
hard,0.03362936,0.005596792
hard,0.033639017,0.005580397
hard,0.033657697,0.005533402
hard,0.033636907,0.005585271
hard,0.032714912,0.005519898
hard,0.033647313,0.005552823
hard,0.033646015,0.005567414
hard,0.033635945,0.005602063
hard,0.033633522,0.005590032
hard,0.033642067,0.005560179
hard,0.033647066,0.005553325
hard,0.033633386,0.005590319
hard,0.033646031,0.005567383
hard,0.033644256,0.005568787
hard,0.033642285,0.005572447
hard,0.033636918,0.005585249
hard,0.033632772,0.005590843
hard,0.033634276,0.00558889
hard,0.033650135,0.005548614
hard,0.033657698,0.0055334
hard,0.033614812,0.005641997
hard,0.033634247,0.00558895
hard,0.033636504,0.005583487
hard,0.033646057,0.005567332
hard,0.033642429,0.005572072
hard,0.033642486,0.005571957
hard,0.033636912,0.005583452
hard,0.033649687,0.005560627
hard,0.033624086,0.005622872
hard,0.033639592,0.005578447
hard,0.033646036,0.005565763
hard,0.033657797,0.005533803
hard,0.03364593,0.005553718
hard,0.033637441,0.005599928
hard,0.033626038,0.005617791
hard,0.033645897,0.005553785
hard,0.033614934,0.005641725
hard,0.033638193,0.005568357
hard,0.033645902,0.005554591
hard,0.033652992,0.005540329
hard,0.033650428,0.005560251
hard,0.033649773,0.00556046
hard,0.033648856,0.00556219
hard,0.033657894,0.005532663
hard,0.033631467,0.005592659
hard,0.033623859,0.005687808
hard,0.033637691,0.005583247
hard,0.033657019,0.005524947
hard,0.03364561,0.00556871
hard,0.033661362,0.005564018
hard,0.033654785,0.005537359
hard,0.033657494,0.005533792
hard,0.033645366,0.005568352
hard,0.03363977,0.005578083
hard,0.033645818,0.005566798
hard,0.033645998,0.005566441
hard,0.033632385,0.005591002
hard,0.033643393,0.005559654
hard,0.033660713,0.005517726
hard,0.033645934,0.00555371
hard,0.033647937,0.005563228
hard,0.033634457,0.00558851
hard,0.033634105,0.005589249
hard,0.033657422,0.005533931
hard,0.033549717,0.005720586
hard,0.033646399,0.005566657
hard,0.033332335,0.00593415
hard,0.033648457,0.005563239
hard,0.033620396,0.005652233
hard,0.033629547,0.005596279
hard,0.033623543,0.005625009
hard,0.033636539,0.005582889
hard,0.033657405,0.005533964
hard,0.033624004,0.005623046
hard,0.033584638,0.005622896
hard,0.033642027,0.005560262
hard,0.033633397,0.005590296
hard,0.033628941,0.00559759
hard,0.033630699,0.005609698
hard,0.03365253,0.00554177
hard,0.033656768,0.005525445
hard,0.033644011,0.00555748
hard,0.033657502,0.005533777
hard,0.033639662,0.005578493
hard,0.033660912,0.005517341
hard,0.033633536,0.005588991
hard,0.033624227,0.005622572
hard,0.033646308,0.005566837
hard,0.033630342,0.005609438
hard,0.033656664,0.005525651
hard,0.03363086,0.005609367
hard,0.033656285,0.005525841
hard,0.033650211,0.005548463
hard,0.033648716,0.005562463
hard,0.033657883,0.005532684
hard,0.033643808,0.005558845
hard,0.033653668,0.005538951
hard,0.033646455,0.005564997
hard,0.033655012,0.005528988
hard,0.033647348,0.005552753
hard,0.033633147,0.005590307
hard,0.03364816,0.00556221
hard,0.033648819,0.005562262
hard,0.033625593,0.005562048
hard,0.0336315,0.005593107
hard,0.033637617,0.005581584
hard,0.033643475,0.005559485
hard,0.033631783,0.005591989
hard,0.033657316,0.005534136
hard,0.033657924,0.00553338
hard,0.033652884,0.005541526
hard,0.033255729,0.00554317
hard,0.03364726,0.005552931
hard,0.033661318,0.005517999
hard,0.033637645,0.005581526
hard,0.033645513,0.005568901
hard,0.033639735,0.005578153
hard,0.033657985,0.005533263
hard,0.033656919,0.005525146
hard,0.033645866,0.005567127
hard,0.03361461,0.005642447
hard,0.033657321,0.005534126
