regime,sigma.sq
hard,9.29E-05
hard,8.65E-05
hard,8.31E-05
hard,0.000294833
hard,0.000101642
hard,0.000101515
hard,0.000350563
hard,8.37E-05
hard,9.95E-05
hard,8.27E-05
hard,8.78E-05
hard,9.84E-05
hard,8.78E-05
hard,6.63E-05
hard,9.53E-05
hard,6.36E-05
hard,0.000326909
hard,0.00012546
hard,0.00021535
hard,7.83E-05
hard,0.0002703
hard,0.000105513
hard,0.000251374
hard,0.000236425
hard,0.000327301
hard,0.000107884
hard,0.000341109
hard,8.34E-05
hard,6.99E-05
hard,0.00016206
hard,0.000275814
hard,6.65E-05
hard,8.72E-05
hard,9.78E-05
hard,0.000361727
hard,7.52E-05
hard,7.37E-05
hard,0.000121116
hard,0.000103548
hard,0.000117921
hard,8.09E-05
hard,0.000104184
hard,7.69E-05
hard,0.000100991
hard,0.000261545
hard,9.48E-05
hard,9.09E-05
hard,8.32E-05
hard,8.06E-05
hard,8.57E-05
hard,7.02E-05
hard,9.04E-05
hard,8.91E-05
hard,0.000100067
hard,9.14E-05
hard,7.09E-05
hard,7.68E-05
hard,0.000311486
hard,0.000281894
hard,7.74E-05
hard,0.000128657
hard,8.07E-05
hard,9.90E-05
hard,0.000147304
hard,6.46E-05
hard,0.000104355
hard,0.000346927
hard,9.09E-05
hard,0.000111316
hard,7.82E-05
hard,0.000135492
hard,0.000102842
hard,8.33E-05
hard,0.00030369
hard,0.000109972
hard,8.68E-05
hard,0.00010235
hard,0.000265524
hard,6.26E-05
hard,0.000105824
hard,0.000353992
hard,0.000227994
hard,0.000283975
hard,0.000160183
hard,8.51E-05
hard,7.18E-05
hard,7.32E-05
hard,0.000283147
hard,0.000104648
hard,8.43E-05
hard,8.97E-05
hard,0.000270189
hard,9.15E-05
hard,8.24E-05
hard,0.00010051
hard,0.000113748
hard,9.99E-05
hard,6.92E-05
hard,0.000333912
hard,0.000327067
hard,9.02E-05
hard,9.42E-05
hard,8.84E-05
hard,7.90E-05
hard,0.000252995
hard,0.000308669
hard,8.38E-05
hard,9.74E-05
hard,0.000158383
