regime,theta,se
hard,-0.180371855,0.051807318
hard,-0.232296488,0.036306964
hard,-0.247000093,0.033967984
hard,-0.203670394,0.043962495
hard,-0.253984499,0.035597059
hard,-0.203808141,0.041589905
hard,-0.179463258,0.053004959
hard,-0.210001116,0.045192966
hard,-0.196931758,0.042948176
hard,-0.267688732,0.025066493
hard,-0.266240452,0.033617701
hard,-0.192615731,0.045200485
hard,-0.254732288,0.042928063
hard,-0.278820178,0.03625468
hard,-0.264988284,0.026858183
hard,-0.194486092,0.051598584
hard,-0.183950152,0.04536907
hard,-0.199823913,0.040905211
hard,-0.272214424,0.031162782
hard,-0.232709674,0.039592433
hard,-0.21017384,0.053301785
hard,-0.243645176,0.036070008
hard,-0.247463874,0.042342422
hard,-0.231286187,0.048175075
hard,-0.259526726,0.03229547
hard,-0.265042392,0.031856059
hard,-0.216760012,0.045992849
hard,-0.236980855,0.040892544
hard,-0.259058608,0.033276577
hard,-0.221719716,0.037121821
hard,-0.268307707,0.031987207
hard,-0.262992737,0.035823164
hard,-0.196463211,0.044323724
hard,-0.234360496,0.045568155
hard,-0.203638286,0.044591333
hard,-0.233039423,0.040621702
hard,-0.15653364,0.057335809
hard,-0.179501833,0.047557474
hard,-0.232981442,0.044699637
hard,-0.248544733,0.034369362
hard,-0.268889026,0.028062324
hard,-0.209479091,0.041233213
hard,-0.274611311,0.044017484
hard,-0.18702616,0.046149918
hard,-0.261332242,0.035485271
hard,-0.205662653,0.043281455
hard,-0.194058492,0.048113546
hard,-0.270075969,0.036966534
hard,-0.246811945,0.033911295
hard,-0.195727735,0.04923098
hard,-0.168580926,0.05391749
hard,-0.153001603,0.055233943
hard,-0.267464597,0.032982456
hard,-0.180830687,0.049202945
hard,-0.201955534,0.046933433
hard,-0.2373055,0.045335795
hard,-0.25676903,0.027318952
hard,-0.227552842,0.046038716
hard,-0.24588509,0.035419408
hard,-0.185807061,0.047307984
hard,-0.2636699,0.03226542
hard,-0.258037344,0.031120999
hard,-0.210852479,0.045047045
hard,-0.263468761,0.026553162
hard,-0.253244548,0.03270328
hard,-0.236324169,0.033932934
hard,-0.190887306,0.044056559
hard,-0.241309596,0.035675964
hard,-0.260526533,0.028348185
hard,-0.260299292,0.031929782
hard,-0.205563517,0.043044209
hard,-0.169112252,0.052706566
hard,-0.197598641,0.0468363
hard,-0.274632707,0.033707244
hard,-0.265952978,0.033090385
hard,-0.200953384,0.051898004
hard,-0.162990102,0.05203576
hard,-0.242149899,0.034847764
hard,-0.164063392,0.052473905
hard,-0.254893092,0.035052565
hard,-0.169331274,0.051602124
hard,-0.1751412,0.049237342
hard,-0.175809446,0.053128305
hard,-0.183181693,0.048982965
hard,-0.276776287,0.027996515
hard,-0.245422411,0.032822918
hard,-0.20497731,0.042457391
hard,-0.154661922,0.052944488
hard,-0.204139678,0.044961653
hard,-0.189584815,0.048017163
hard,-0.238694811,0.0419128
hard,-0.239644447,0.036744543
hard,-0.266973059,0.027462995
hard,-0.242345566,0.03526848
hard,-0.283022502,0.02589982
hard,-0.255614808,0.033955591
hard,-0.275624407,0.033144656
hard,-0.247775098,0.035311024
hard,-0.258254295,0.032486515
hard,-0.247470573,0.034370187
hard,-0.163788212,0.066915215
hard,-0.170671832,0.052633353
hard,-0.249097719,0.038024312
hard,-0.212157821,0.046775673
hard,-0.194968978,0.0423013
hard,-0.244282663,0.036384466
hard,-0.219098107,0.041515144
hard,-0.24953197,0.029222305
hard,-0.154478364,0.055430292
hard,-0.241239611,0.036043125
hard,-0.267843119,0.034920502
hard,-0.196227035,0.040765056
hard,-0.227673112,0.051270507
hard,-0.284549138,0.049089427
hard,-0.21258311,0.044136561
hard,-0.230848237,0.034943716
hard,-0.251249165,0.036934231
hard,-0.187475268,0.046725365
hard,-0.228622812,0.046992295
hard,-0.252320785,0.032753572
hard,-0.165524747,0.052270918
hard,-0.254564581,0.03660043
hard,-0.245023848,0.034382291
hard,-0.25968343,0.033576261
hard,-0.214449311,0.043192431
hard,-0.206167897,0.047596612
hard,-0.26210881,0.035312423
hard,-0.179872941,0.047788169
hard,-0.196130468,0.04399496
hard,-0.203765236,0.042446897
hard,-0.238608091,0.034131974
hard,-0.239054719,0.032679501
hard,-0.262100924,0.048210251
hard,-0.152657187,0.053291796
hard,-0.259755282,0.032298518
hard,-0.268172492,0.034990142
hard,-0.218153172,0.039921959
hard,-0.262212351,0.033601888
hard,-0.248203192,0.032732589
hard,-0.264881132,0.032932409
hard,-0.23005115,0.040195126
hard,-0.19718408,0.04306179
hard,-0.261746461,0.027714072
hard,-0.180165236,0.055609878
hard,-0.261905848,0.025961002
hard,-0.188586601,0.046938337
hard,-0.264361534,0.035489191
hard,-0.165659896,0.053726618
hard,-0.260172615,0.035361909
hard,-0.213107157,0.04201856
hard,-0.232546193,0.039498793
hard,-0.165682634,0.054220262
hard,-0.260371633,0.033636565
