regime,sigma.sq
hard,5.51E-05
hard,5.46E-05
hard,5.45E-05
hard,5.53E-05
hard,5.54E-05
hard,5.49E-05
hard,5.52E-05
hard,5.47E-05
hard,5.41E-05
hard,5.41E-05
hard,5.51E-05
hard,5.49E-05
hard,5.54E-05
hard,5.50E-05
hard,5.39E-05
hard,5.54E-05
hard,5.46E-05
hard,5.55E-05
hard,5.51E-05
hard,5.39E-05
hard,5.49E-05
hard,5.44E-05
hard,5.47E-05
hard,5.49E-05
hard,5.29E-05
hard,5.39E-05
hard,5.50E-05
hard,5.47E-05
hard,5.49E-05
hard,5.51E-05
hard,5.51E-05
hard,5.56E-05
hard,5.55E-05
hard,5.39E-05
hard,5.46E-05
hard,5.41E-05
hard,5.40E-05
hard,5.38E-05
hard,5.45E-05
hard,5.49E-05
hard,5.51E-05
hard,5.29E-05
hard,5.45E-05
hard,5.38E-05
hard,5.52E-05
hard,5.44E-05
hard,5.47E-05
hard,5.55E-05
hard,5.49E-05
hard,5.46E-05
hard,5.47E-05
hard,5.44E-05
hard,5.45E-05
hard,5.51E-05
hard,5.39E-05
hard,5.54E-05
hard,5.45E-05
hard,5.51E-05
hard,5.45E-05
hard,5.28E-05
hard,5.52E-05
hard,5.29E-05
hard,5.51E-05
hard,5.51E-05
hard,5.41E-05
hard,5.54E-05
hard,5.48E-05
hard,5.77E-05
hard,5.52E-05
hard,5.45E-05
hard,5.50E-05
hard,5.46E-05
hard,5.52E-05
hard,5.48E-05
hard,5.51E-05
hard,5.46E-05
hard,5.44E-05
hard,5.46E-05
hard,5.55E-05
hard,5.46E-05
hard,5.44E-05
hard,5.45E-05
hard,5.51E-05
hard,5.45E-05
hard,5.45E-05
hard,5.45E-05
hard,5.44E-05
hard,5.45E-05
hard,5.44E-05
hard,5.68E-05
hard,5.52E-05
hard,5.39E-05
hard,5.45E-05
hard,5.47E-05
hard,5.46E-05
hard,5.44E-05
hard,5.48E-05
hard,5.45E-05
hard,5.39E-05
hard,5.40E-05
hard,5.46E-05
hard,5.51E-05
hard,5.52E-05
hard,5.29E-05
hard,5.44E-05
hard,5.55E-05
hard,5.51E-05
hard,5.54E-05
hard,5.40E-05
hard,5.54E-05
hard,5.51E-05
hard,5.45E-05
hard,5.47E-05
hard,5.45E-05
hard,5.54E-05
hard,5.40E-05
hard,5.56E-05
hard,5.46E-05
hard,5.45E-05
hard,5.44E-05
hard,5.38E-05
hard,5.44E-05
hard,5.49E-05
hard,5.44E-05
hard,5.52E-05
hard,5.47E-05
hard,5.50E-05
hard,5.44E-05
hard,5.51E-05
hard,5.55E-05
hard,5.51E-05
hard,5.45E-05
hard,5.47E-05
hard,5.47E-05
hard,5.44E-05
hard,5.45E-05
hard,5.73E-05
hard,5.71E-05
hard,5.45E-05
hard,5.53E-05
hard,5.51E-05
hard,5.51E-05
hard,5.48E-05
hard,5.51E-05
hard,5.51E-05
hard,5.39E-05
hard,5.50E-05
hard,5.45E-05
hard,5.36E-05
hard,5.37E-05
hard,5.55E-05
hard,5.51E-05
hard,5.47E-05
hard,5.52E-05
hard,5.46E-05
hard,5.51E-05
hard,5.45E-05
hard,5.55E-05
hard,5.47E-05
hard,5.55E-05
hard,5.46E-05
hard,5.36E-05
hard,5.45E-05
hard,5.53E-05
hard,5.45E-05
hard,5.45E-05
hard,5.46E-05
hard,5.54E-05
hard,5.45E-05
hard,5.50E-05
hard,5.47E-05
hard,5.47E-05
hard,5.56E-05
hard,5.51E-05
hard,5.47E-05
hard,5.51E-05
hard,5.53E-05
hard,5.55E-05
hard,5.39E-05
hard,5.52E-05
hard,5.45E-05
soft,0.000159501
soft,0.000161352
soft,0.000158405
soft,0.000160203
soft,0.000161429
soft,0.000155892
soft,0.000159971
soft,0.000157614
soft,0.000159944
soft,0.000158069
soft,0.00015835
soft,0.000159972
soft,0.000157856
soft,0.000157925
soft,0.00016033
soft,0.000159661
soft,0.00016113
soft,0.000158117
soft,0.000155892
soft,0.000158643
soft,0.000157934
soft,0.000156143
soft,0.000157827
soft,0.00015777
soft,0.000156143
soft,0.000153084
soft,0.00015777
soft,0.000161429
soft,0.00015851
soft,0.000158117
soft,0.000157518
soft,0.000157515
soft,0.000155625
soft,0.000158245
soft,0.00015548
soft,0.000158069
soft,0.000154874
soft,0.000158751
soft,0.000159887
soft,0.000161379
soft,0.000157614
soft,0.000158346
soft,0.000158751
soft,0.000158382
soft,0.000157581
soft,0.000158081
soft,0.00015835
soft,0.000158059
soft,0.000157518
soft,0.000159944
soft,0.000161429
soft,0.000161385
soft,0.000158576
soft,0.000161379
soft,0.000157585
soft,0.000159932
soft,0.000158059
soft,0.000158117
soft,0.000159711
soft,0.000158059
soft,0.000155892
soft,0.000158405
soft,0.00016113
soft,0.000158017
soft,0.00015777
soft,0.000161723
soft,0.000158751
soft,0.000164862
soft,0.000155857
soft,0.00015841
soft,0.000156143
soft,0.000159887
soft,0.000159932
soft,0.000159882
soft,0.000155625
soft,0.000160786
soft,0.000161429
soft,0.000157585
soft,0.000161097
soft,0.000152057
soft,0.00015851
soft,0.000159842
soft,0.000157671
soft,0.000160307
soft,0.000155756
soft,0.000158175
soft,0.000158059
soft,0.000158576
soft,0.000159853
soft,0.000159882
soft,0.00016033
soft,0.000158081
soft,0.000159565
soft,0.000160607
soft,0.000160463
soft,0.000159887
soft,0.00015777
soft,0.000161097
soft,0.000158687
soft,0.000159972
soft,0.000153084
soft,0.000157518
soft,0.000164811
soft,0.000157562
soft,0.000157925
soft,0.000157562
soft,0.000164783
soft,0.000157946
soft,0.00015777
soft,0.000157585
soft,0.000161363
soft,0.000157515
soft,0.000159887
soft,0.000161221
soft,0.000156143
soft,0.000155625
soft,0.000159832
soft,0.000159972
soft,0.000158751
soft,0.000159842
soft,0.000166238
soft,0.000159887
soft,0.000157925
soft,0.000161385
soft,0.000159711
soft,0.000159853
soft,0.000155383
soft,0.000157918
soft,0.00015951
soft,0.000158087
soft,0.000167377
soft,0.000159971
soft,0.000155625
soft,0.00016033
soft,0.000158346
soft,0.00015777
soft,0.000160307
soft,0.000161385
soft,0.00015867
soft,0.000157671
soft,0.000159853
soft,0.000159972
soft,0.000161077
soft,0.000161385
soft,0.000161097
soft,0.000158245
soft,0.000157925
soft,0.000160607
soft,0.000158576
soft,0.000157856
soft,0.00015867
soft,0.00015851
soft,0.000158117
soft,0.000158074
soft,0.000157518
soft,0.00015777
soft,0.00015867
soft,0.000157801
soft,0.000157969
soft,0.00015835
soft,0.000158687
soft,0.00016113
soft,0.000159972
soft,0.000158751
soft,0.000155625
soft,0.000157827
soft,0.000159882
soft,0.000158081
soft,0.000160437
soft,0.00015777
soft,0.000157485
soft,0.000159622
