regime,theta,se
hard,-0.495986282,0.04227414
hard,-0.44809354,0.030896071
hard,-0.437864915,0.029677001
hard,-0.490668355,0.038730844
hard,-0.433774857,0.030475225
hard,-0.485020266,0.03731313
hard,-0.496694533,0.04189716
hard,-0.489780364,0.038557033
hard,-0.485981744,0.037747799
hard,-0.419487245,0.025819398
hard,-0.419323766,0.030003819
hard,-0.489999107,0.039073465
hard,-0.427827562,0.035321878
hard,-0.408634622,0.031002283
hard,-0.431354275,0.026555575
hard,-0.496265141,0.04176235
hard,-0.484150116,0.038535844
hard,-0.480371103,0.036629585
hard,-0.410597937,0.028495436
hard,-0.451191831,0.034310089
hard,-0.507275132,0.042431638
hard,-0.437949654,0.031068035
hard,-0.438371925,0.034854536
hard,-0.496675137,0.038121625
hard,-0.429051242,0.028891996
hard,-0.418797449,0.028943219
hard,-0.498696225,0.03834198
hard,-0.440748531,0.034786005
hard,-0.434750958,0.02911313
hard,-0.468093279,0.032678303
hard,-0.411854908,0.028933069
hard,-0.424261139,0.030818801
hard,-0.490058119,0.038600174
hard,-0.49415711,0.035587402
hard,-0.492518654,0.038937179
hard,-0.453711148,0.034611198
hard,-0.502057366,0.045116104
hard,-0.499768849,0.041009314
hard,-0.443205232,0.03745191
hard,-0.436687185,0.030073706
hard,-0.425844366,0.027725152
hard,-0.490270455,0.036994845
hard,-0.416633402,0.036017387
hard,-0.487151856,0.039277846
hard,-0.419798223,0.031047459
hard,-0.46309455,0.035947443
hard,-0.500065439,0.04100236
hard,-0.421341965,0.030930099
hard,-0.429933029,0.029753774
hard,-0.501217163,0.041374178
hard,-0.497735941,0.042521239
hard,-0.497669977,0.043856819
hard,-0.42097144,0.029684194
hard,-0.497168209,0.040828595
hard,-0.496929957,0.040804733
hard,-0.494554107,0.037010985
hard,-0.436492635,0.027065002
hard,-0.493237224,0.037974194
hard,-0.435103535,0.030619616
hard,-0.491887566,0.039954288
hard,-0.430140668,0.02854546
hard,-0.425870152,0.02819397
hard,-0.490236146,0.038458425
hard,-0.430393509,0.026484007
hard,-0.438215069,0.028739917
hard,-0.442892549,0.029723003
hard,-0.471166488,0.036921083
hard,-0.448040584,0.030171994
hard,-0.435257902,0.027884933
hard,-0.422960135,0.02901103
hard,-0.489377149,0.038088747
hard,-0.494743938,0.04255449
hard,-0.492386107,0.039343366
hard,-0.416948364,0.029923423
hard,-0.420489101,0.029326291
hard,-0.503595593,0.042197667
hard,-0.490243195,0.042196009
hard,-0.436494915,0.030524092
hard,-0.495686166,0.042371377
hard,-0.42340928,0.030636525
hard,-0.501790036,0.043143409
hard,-0.492275629,0.040765725
hard,-0.503385878,0.043576339
hard,-0.495563893,0.041029964
hard,-0.415231636,0.027851936
hard,-0.442485622,0.029273365
hard,-0.488093117,0.037835162
hard,-0.479751859,0.041163467
hard,-0.492713282,0.038743001
hard,-0.489406212,0.040258646
hard,-0.479825836,0.033618708
hard,-0.443970146,0.032156199
hard,-0.423625515,0.02737069
hard,-0.443922307,0.030464377
hard,-0.40524684,0.025772141
hard,-0.430163291,0.029898725
hard,-0.412237072,0.029550193
hard,-0.436188272,0.030654208
hard,-0.42813798,0.029098071
hard,-0.437213919,0.0300822
hard,-0.536824938,0.049433259
hard,-0.494865809,0.04264113
hard,-0.474675678,0.031456868
hard,-0.444407048,0.037170041
hard,-0.481857529,0.036995544
hard,-0.434711369,0.032196533
hard,-0.486124944,0.035019841
hard,-0.44749751,0.029283176
hard,-0.49584202,0.043880312
hard,-0.443059074,0.030901543
hard,-0.429873684,0.030515131
hard,-0.481076847,0.036213698
hard,-0.445908143,0.038750542
hard,-0.348681926,0.040170861
hard,-0.472686715,0.037659549
hard,-0.445501398,0.030449249
hard,-0.438182666,0.031062462
hard,-0.493896487,0.039850308
hard,-0.500513543,0.037642572
hard,-0.432844926,0.029353868
hard,-0.489605071,0.042121567
hard,-0.431890085,0.031312985
hard,-0.445049812,0.02948704
hard,-0.427128105,0.029849929
hard,-0.494339244,0.037766683
hard,-0.500658734,0.038933431
hard,-0.422899804,0.030613757
hard,-0.489412575,0.039622172
hard,-0.486962915,0.038419184
hard,-0.486975692,0.036905247
hard,-0.440835814,0.029875772
hard,-0.442685012,0.029304503
hard,-0.453716334,0.040740619
hard,-0.493543484,0.042951859
hard,-0.430319869,0.028971436
hard,-0.411166607,0.03051457
hard,-0.464985517,0.035430437
hard,-0.41980132,0.029975698
hard,-0.435353798,0.029323661
hard,-0.42832579,0.029017927
hard,-0.457402036,0.035389346
hard,-0.486330774,0.037649375
hard,-0.431201965,0.027536609
hard,-0.508098667,0.044592612
hard,-0.430173917,0.026140609
hard,-0.492029882,0.039636999
hard,-0.418426498,0.031029076
hard,-0.497320116,0.043121806
hard,-0.423455589,0.030722103
hard,-0.459406293,0.035159365
hard,-0.453178819,0.034805223
hard,-0.499409164,0.04302052
hard,-0.429440877,0.030317216
hard,-0.436162201,0.029610184
hard,-0.498345931,0.043717842
hard,-0.42063987,0.030683325
hard,-0.423025804,0.028549284
hard,-0.415511392,0.031194421
hard,-0.498441285,0.041457161
hard,-0.422043816,0.028564116
hard,-0.439233841,0.029693901
hard,-0.444651516,0.030825204
hard,-0.499886687,0.043197917
hard,-0.413657588,0.028674725
hard,-0.458256824,0.034930681
hard,-0.469246823,0.034546406
hard,-0.417073128,0.035593609
hard,-0.493661568,0.039385044
hard,-0.440788896,0.032277439
hard,-0.4441447,0.03032178
hard,-0.44596957,0.030007821
hard,-0.436372647,0.027919265
hard,-0.49611649,0.039580164
hard,-0.492671352,0.038915609
hard,-0.479581473,0.036484622
hard,-0.495460874,0.040094956
hard,-0.414922587,0.029244574
hard,-0.433800789,0.02894179
hard,-0.42631769,0.029546169
hard,-0.453374723,0.031557706
hard,-0.424745234,0.029568015
hard,-0.473042598,0.034141934
hard,-0.423939731,0.02934201
hard,-0.422012681,0.027488526
hard,-0.409495516,0.0300277
hard,-0.489303508,0.03762873
hard,-0.408866716,0.029786134
hard,-0.445452566,0.029847613
hard,-0.489891809,0.041393239
hard,-0.448071615,0.033267443
hard,-0.403120209,0.027754685
hard,-0.487478908,0.041120091
hard,-0.492293859,0.035901659
hard,-0.465001848,0.032073286
hard,-0.4225127,0.03797515
hard,-0.49631225,0.042915281
hard,-0.489701998,0.040534836
hard,-0.431670896,0.028963005
hard,-0.497192489,0.037858685
hard,-0.446653232,0.028350067
hard,-0.500274287,0.043783788
hard,-0.490259585,0.037516443
hard,-0.457593133,0.037683431
hard,-0.492007492,0.036631915
hard,-0.420355746,0.028732453
hard,-0.434133539,0.026837342
hard,-0.434213511,0.027124657
hard,-0.487596427,0.038651726
hard,-0.434456422,0.027111452
hard,-0.503429632,0.04283305
hard,-0.499581378,0.041466523
hard,-0.49089023,0.039996958
hard,-0.481739208,0.036539859
hard,-0.433844948,0.029499672
hard,-0.44068083,0.029507259
hard,-0.486411747,0.036053789
hard,-0.497596113,0.039390124
hard,-0.422176679,0.030580294
hard,-0.42368863,0.031535768
hard,-0.488898177,0.039772888
hard,-0.430864613,0.029155183
hard,-0.498192321,0.042635871
hard,-0.492119296,0.04009131
hard,-0.426374677,0.028161172
hard,-0.483347868,0.037146052
hard,-0.495316143,0.038084237
hard,-0.409339829,0.029816485
hard,-0.500837654,0.043473588
hard,-0.42441349,0.02621134
hard,-0.446425773,0.030349697
hard,-0.450875543,0.034555848
hard,-0.491378387,0.039626897
hard,-0.494159487,0.038769901
hard,-0.414245667,0.028553091
hard,-0.491158508,0.038859641
hard,-0.484381986,0.037849304
hard,-0.491250436,0.037408314
hard,-0.433943966,0.036001392
hard,-0.442484037,0.031469578
hard,-0.489330634,0.038629932
hard,-0.408255836,0.030757897
hard,-0.424532386,0.029705705
hard,-0.441251129,0.034499755
hard,-0.445934671,0.034828233
hard,-0.445143559,0.030088922
hard,-0.480689545,0.035073285
hard,-0.488776201,0.04041214
hard,-0.417118544,0.029681766
hard,-0.439733312,0.029560225
hard,-0.490975888,0.040725439
hard,-0.443853911,0.030014195
hard,-0.418163887,0.029609623
hard,-0.4901177,0.038915868
hard,-0.447222766,0.028914219
hard,-0.437378112,0.028859881
hard,-0.437288357,0.029328571
hard,-0.486205342,0.038638083
hard,-0.492211511,0.041380084
hard,-0.415867456,0.030502362
hard,-0.430718451,0.037422759
hard,-0.437337914,0.028831074
hard,-0.434290957,0.029469819
hard,-0.498346042,0.043347053
