regime,theta,se
hard,-0.165819043,0.014283997
hard,-0.165141919,0.014025053
hard,-0.164999632,0.013969291
hard,-0.165367486,0.014112001
hard,-0.1653996,0.014123948
hard,-0.165578791,0.014190942
hard,-0.164969533,0.013957248
hard,-0.16517983,0.0140385
hard,-0.165337564,0.0140985
hard,-0.165244381,0.014062619
hard,-0.175476976,0.015325414
hard,-0.165260637,0.014065512
hard,-0.164965429,0.01395647
hard,-0.165410509,0.014122825
hard,-0.165230248,0.014055699
hard,-0.165715108,0.014244043
hard,-0.164875726,0.013922894
hard,-0.165449195,0.014145978
hard,-0.164811264,0.013896979
hard,-0.165370304,0.014110375
hard,-0.165113671,0.014010927
hard,-0.16543118,0.014133982
hard,-0.164863013,0.013917507
hard,-0.164804831,0.013892945
hard,-0.165493499,0.014158031
hard,-0.16527672,0.014074733
hard,-0.164827586,0.013904379
hard,-0.164973684,0.013959488
hard,-0.165106253,0.01400999
hard,-0.165372015,0.014110681
hard,-0.165472673,0.014153806
hard,-0.165014068,0.013976866
hard,-0.165308715,0.014085653
hard,-0.164845125,0.013910367
hard,-0.165339229,0.014098797
hard,-0.165937053,0.014325936
hard,-0.164810346,0.013896819
hard,-0.165523698,0.01416826
hard,-0.16513051,0.014019677
hard,-0.165538064,0.014173211
hard,-0.165776727,0.014267799
hard,-0.164843095,0.013910011
hard,-0.165788331,0.014269905
hard,-0.165357539,0.014106911
hard,-0.165839499,0.014285985
hard,-0.165371239,0.014110542
hard,-0.165123082,0.014017364
hard,-0.1653468,0.014100915
hard,-0.165722145,0.014245396
hard,-0.165759074,0.014261007
hard,-0.165038912,0.013984313
hard,-0.165637688,0.014212949
hard,-0.165005389,0.013972794
hard,-0.165719311,0.014244882
hard,-0.165522175,0.014168241
hard,-0.165737239,0.014248924
hard,-0.165946793,0.014330734
hard,-0.164933031,0.013943855
hard,-0.165533345,0.01417425
hard,-0.165003132,0.013972116
hard,-0.165966579,0.014338688
hard,-0.164930356,0.013943241
hard,-0.165256626,0.014064798
hard,-0.177784978,0.016007636
hard,-0.16558398,0.014193123
hard,-0.165602387,0.014198567
hard,-0.16559903,0.014196641
hard,-0.172823716,0.011696604
