regime,sigma.sq
hard,0.002161407
hard,0.000384789
hard,0.002151535
hard,0.002128065
hard,0.002239526
hard,0.000391496
hard,0.002335448
hard,0.00043519
hard,0.000362964
hard,0.001739105
hard,0.001972103
hard,0.000368985
hard,0.000405937
hard,0.000366262
hard,0.002465134
hard,0.000355931
hard,0.00035473
hard,0.001722595
hard,0.000417964
hard,0.001953916
hard,0.00038009
hard,0.000384773
hard,0.000474566
hard,0.000416777
hard,0.002083313
hard,0.000472919
hard,0.00047713
hard,0.00036033
hard,0.000417397
hard,0.000424604
hard,0.000428964
hard,0.000362278
hard,0.000348306
hard,0.000640022
hard,0.000490769
hard,0.000396221
hard,0.000412217
hard,0.002484539
hard,0.00212436
hard,0.000355951
hard,0.001671915
hard,0.00037636
hard,0.000386344
hard,0.001655122
hard,0.00038836
hard,0.000387378
hard,0.002445074
hard,0.000394899
hard,0.001050988
hard,0.000397354
hard,0.000792647
hard,0.000384867
hard,0.0003692
hard,0.002350201
hard,0.000394559
hard,0.000347558
hard,0.000387352
hard,0.002115959
hard,0.000307961
hard,0.000387529
hard,0.002505906
hard,0.002226784
hard,0.002144333
hard,0.001820814
hard,0.000429031
hard,0.000368055
hard,0.000353154
hard,0.001998824
hard,0.000705238
hard,0.000368862
hard,0.000505007
hard,0.002110475
hard,0.000367528
hard,0.000364027
hard,0.000552771
hard,0.00088604
hard,0.000381363
hard,0.000368147
hard,0.002388246
hard,0.002309475
hard,0.000466979
hard,0.000514535
hard,0.000385502
hard,0.000347313
hard,0.002101365
hard,0.002137826
hard,0.000408433
hard,0.000507335
hard,0.001242939
hard,0.001780685
hard,0.000381296
hard,0.002056777
hard,0.001962141
hard,0.000409032
hard,0.000399575
hard,0.001436778
hard,0.000413453
hard,0.002712029
hard,0.000445621
hard,0.000382034
hard,0.002079768
hard,0.000441661
hard,0.00209573
hard,0.001841268
hard,0.000365238
hard,0.000413068
hard,0.001972843
hard,0.00037549
hard,0.000419292
hard,0.00041283
hard,0.00215197
hard,0.002564676
hard,0.000401203
hard,0.000407199
hard,0.000361155
hard,0.0003737
hard,0.00038256
hard,0.002304773
hard,0.002327411
hard,0.000518837
hard,0.002417711
hard,0.002486579
hard,0.000351384
hard,0.000412087
hard,0.000363446
hard,0.000405824
hard,0.00035202
hard,0.002362563
hard,0.000581379
hard,0.002168088
hard,0.000350908
hard,0.002387012
hard,0.000467749
hard,0.002284638
hard,0.000383997
hard,0.000380242
hard,0.002168969
hard,0.00041964
hard,0.00036803
hard,0.000382332
hard,0.001597823
hard,0.001687909
hard,0.000471777
hard,0.000354652
hard,0.000389141
hard,0.000395511
soft,0.000885027
soft,0.000742071
soft,0.000751047
soft,0.000848909
soft,0.000769303
soft,0.000809966
soft,0.000904092
soft,0.000838635
soft,0.000745471
soft,0.000911816
soft,0.000725216
soft,0.00094005
soft,0.00093445
soft,0.000834775
soft,0.000754503
soft,0.000912361
soft,0.000921925
soft,0.000833717
soft,0.000754884
soft,0.000849591
soft,0.000751324
soft,0.000819177
soft,0.000997903
soft,0.000906771
soft,0.000944807
soft,0.000972941
soft,0.00100414
soft,0.000931704
soft,0.000834467
soft,0.000791837
soft,0.000905587
soft,0.000743472
soft,0.000856362
soft,0.000823768
soft,0.000731789
soft,0.000831767
soft,0.000903043
soft,0.000814528
soft,0.000919888
soft,0.000750894
soft,0.000914116
soft,0.000899845
soft,0.000818504
soft,0.000926007
soft,0.000864169
soft,0.000881647
soft,0.000754886
soft,0.00081695
soft,0.000999483
soft,0.000730089
soft,0.000975151
soft,0.000835382
soft,0.000729636
soft,0.000741733
soft,0.000907949
soft,0.000936753
soft,0.000844806
soft,0.00084136
soft,0.000809986
soft,0.000760856
soft,0.000936108
soft,0.000868267
soft,0.000940116
soft,0.000839315
soft,0.000908729
soft,0.000860257
soft,0.00086999
soft,0.000729827
soft,0.000934579
soft,0.001003178
soft,0.000935825
soft,0.000751398
soft,0.000745181
soft,0.000954478
soft,0.000825641
soft,0.00095654
soft,0.00075411
soft,0.000969919
soft,0.00083279
soft,0.000824732
soft,0.000967853
soft,0.000849462
soft,0.000876585
soft,0.001008476
soft,0.000784628
soft,0.000871898
soft,0.000765446
soft,0.000910186
soft,0.000969614
soft,0.000736363
soft,0.000811989
soft,0.000841196
soft,0.000831352
soft,0.000952507
soft,0.001040075
soft,0.000825248
soft,0.000837775
soft,0.000949715
soft,0.000775066
soft,0.000785988
soft,0.000813707
soft,0.000802725
soft,0.00093919
soft,0.00103386
soft,0.000837388
soft,0.000927864
soft,0.000823815
soft,0.000903076
soft,0.000919218
soft,0.000989025
soft,0.000996565
soft,0.00076987
soft,0.000844386
soft,0.000840139
soft,0.000814497
soft,0.000911752
soft,0.000737211
soft,0.000733202
soft,0.000846495
soft,0.000885921
soft,0.00074511
soft,0.000980466
soft,0.000754358
soft,0.000858595
soft,0.000907655
soft,0.000814831
soft,0.000916089
soft,0.000877492
soft,0.000733617
soft,0.000935906
soft,0.000727843
soft,0.001011504
soft,0.000731139
soft,0.00090911
soft,0.000866639
soft,0.000743056
soft,0.000819728
soft,0.00072955
